#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2] 
1636273818484946187,0.00213053,-0.000532632,-0.0223706,9.87129,-0.354342,0.131681
1636273818486943696,0.00319579,-0.0015979,-0.0165116,9.88566,-0.316035,0.129287
1636273818487947105,0.00426106,0.0015979,-0.0170442,9.84017,-0.337582,0.0909797
1636273818490948555,0.00213053,0.00266316,-0.0186421,9.85453,-0.306458,0.102951
1636273818491949017,0.00213053,0.00372843,-0.0175769,9.88087,-0.306458,0.134075
1636273818494994856,0.00319579,-0.00319579,-0.0207727,9.83299,-0.342371,0.136469
1636273818496944071,0.00692422,0.00372843,-0.0197074,9.84496,-0.332794,0.148441
1636273818498946004,0,-0.0015979,-0.0207727,9.84256,-0.3304,0.114922
1636273818501946621,-0.00213053,0.00106526,-0.0191748,9.88566,-0.349553,0.0790087
1636273818503947557,-0.00266316,-0.00426106,-0.0207727,9.84496,-0.323217,0.126893
1636273818505944489,0.00479369,0.000532632,-0.0133158,9.93115,-0.306458,0.184354
1636273818506947761,0,-0.00266316,-0.0197074,9.8689,-0.306458,0.158017
1636273818509976807,0.00106526,0.00905475,-0.0197074,9.84735,-0.363919,0.105345
1636273818510973110,0.00106526,0.0015979,-0.02024,9.79947,-0.328006,0.0790087
1636273818513983309,0.000532632,0,-0.0191748,9.89045,-0.342371,0.148441
1636273818515972353,0.0015979,0.00106526,-0.0197074,9.80665,-0.351948,0.150835
1636273818517984617,-0.000532632,0.000532632,-0.0213053,9.81144,-0.320823,0.129287
1636273818519943773,0.00319579,0.0015979,-0.0191748,9.82102,-0.328006,0.148441
1636273818520941077,0.00319579,0,-0.0149137,9.88805,-0.349553,0.102951
1636273818524940956,-0.00106526,0.00106526,-0.0154463,9.79707,-0.328006,0.114922
1636273818541947277,0.00213053,0.00213053,-0.0181095,9.82102,-0.342371,0.126893
1636273818543962313,0.00106526,0,-0.0191748,9.83059,-0.354342,0.124498
